np,omp_threads,mode,grid,iters,repeat,runtime_s
2,2,encrypt,128,500,1,0.027144
2,2,decrypt,128,500,1,0.029003
2,2,encrypt,128,1000,1,0.045709
2,2,decrypt,128,1000,1,0.044192
2,2,encrypt,128,2000,1,0.083917
2,2,decrypt,128,2000,1,0.077883
2,2,encrypt,256,500,1,0.062304
2,2,decrypt,256,500,1,0.060259
2,2,encrypt,256,1000,1,0.112026
2,2,decrypt,256,1000,1,0.110989
2,2,encrypt,256,2000,1,0.219054
2,2,decrypt,256,2000,1,0.212567
2,2,encrypt,512,500,1,0.195659
2,2,decrypt,512,500,1,0.196146
2,2,encrypt,512,1000,1,0.369840
2,2,decrypt,512,1000,1,0.378094
2,2,encrypt,512,2000,1,0.761621
2,2,decrypt,512,2000,1,0.722746
2,2,encrypt,1024,500,1,0.717162
2,2,decrypt,1024,500,1,0.704886
2,2,encrypt,1024,1000,1,1.407244
2,2,decrypt,1024,1000,1,1.401162
2,2,encrypt,1024,2000,1,2.787325
2,2,decrypt,1024,2000,1,2.788041
2,4,encrypt,64,500,1,0.031795
2,4,decrypt,64,500,1,0.026356
2,4,encrypt,64,1000,1,0.045172
2,4,decrypt,64,1000,1,0.045141
2,4,encrypt,64,2000,1,0.085027
2,4,decrypt,64,2000,1,0.083479
2,4,encrypt,128,500,1,0.032328
2,4,decrypt,128,500,1,0.031750
2,4,encrypt,128,1000,1,0.056277
2,4,decrypt,128,1000,1,0.058069
2,4,encrypt,128,2000,1,0.108251
2,4,decrypt,128,2000,1,0.102160
2,4,encrypt,256,500,1,0.051091
2,4,decrypt,256,500,1,0.051027
2,4,encrypt,256,1000,1,0.097843
2,4,decrypt,256,1000,1,0.093873
2,4,encrypt,256,2000,1,0.181742
2,4,decrypt,256,2000,1,0.173052
2,4,encrypt,512,500,1,0.125110
2,4,decrypt,512,500,1,0.126018
2,4,encrypt,512,1000,1,0.228570
2,4,decrypt,512,1000,1,0.230213
2,4,encrypt,512,2000,1,0.450338
2,4,decrypt,512,2000,1,0.497730
2,4,encrypt,1024,500,1,0.417664
2,4,decrypt,1024,500,1,0.382168
2,4,encrypt,1024,1000,1,0.767794
2,4,decrypt,1024,1000,1,0.740323
2,4,encrypt,1024,2000,1,1.462952
2,4,decrypt,1024,2000,1,1.463329
2,6,encrypt,64,500,1,0.038367
2,6,decrypt,64,500,1,0.037311
2,6,encrypt,64,1000,1,0.063849
2,6,decrypt,64,1000,1,0.066101
2,6,encrypt,64,2000,1,0.118738
2,6,decrypt,64,2000,1,0.116252
2,6,encrypt,128,500,1,0.041269
2,6,decrypt,128,500,1,0.038995
2,6,encrypt,128,1000,1,0.083420
2,6,decrypt,128,1000,1,0.068147
2,6,encrypt,128,2000,1,0.133068
2,6,decrypt,128,2000,1,0.129474
2,6,encrypt,256,500,1,0.050729
2,6,decrypt,256,500,1,0.054989
2,6,encrypt,256,1000,1,0.094759
2,6,decrypt,256,1000,1,0.111162
2,6,encrypt,256,2000,1,0.191762
2,6,decrypt,256,2000,1,0.178376
2,6,encrypt,512,500,1,0.144566
2,6,decrypt,512,500,1,0.128072
2,6,encrypt,512,1000,1,0.210544
2,6,decrypt,512,1000,1,0.211556
2,6,encrypt,512,2000,1,0.461530
2,6,decrypt,512,2000,1,0.494969
2,6,encrypt,1024,500,1,0.427639
2,6,decrypt,1024,500,1,0.405588
2,6,encrypt,1024,1000,1,0.778986
2,6,decrypt,1024,1000,1,0.756323
2,6,encrypt,1024,2000,1,1.588444
2,6,decrypt,1024,2000,1,1.490014
2,8,encrypt,64,500,1,0.046265
2,8,decrypt,64,500,1,0.045064
2,8,encrypt,64,1000,1,0.082681
2,8,decrypt,64,1000,1,0.081534
2,8,encrypt,64,2000,1,0.156171
2,8,decrypt,64,2000,1,0.154581
2,8,encrypt,128,500,1,0.046564
2,8,decrypt,128,500,1,0.047019
2,8,encrypt,128,1000,1,0.085837
2,8,decrypt,128,1000,1,0.084345
